srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
2829088,AN,3,560011,233,233,131,A,ADLD,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,13
2829866,AJ,2,110018,233,233,228,A,ADLD,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,12
2894489,AJ,3,560011,233,233,228,C,ADLD,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,15
2876708,AJ,2,110018,233,233,228,B,ADLD,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,14
2890283,AN,22,400104,233,233,131,C,ADLD,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,14
2897438,C,6,160059,233,233,131,B,ADLD,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,14
2849010,C,2,110018,233,233,228,A,ADLD,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,14
2887783,U,2,110018,233,233,228,A,ADLD,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,15
2941799,AN,21,110015,233,233,131,B,ADLD,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,13
2973976,AN,22,400104,233,233,131,A,ADLD,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,10
2977421,J,2,110018,233,233,131,A,ADLD,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,13
2982990,AN,26,560066,233,233,131,A,ADLD,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,9
2979785,AJ,2,110018,233,233,131,A,ADLD,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,11
2984029,H,1,400059,233,233,131,B,ADLD,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,16
3012909,AD,2,110018,233,233,131,A,ADLD,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,11
3030307,AJ,27,110034,233,233,131,A,ADLD,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,10
3048314,AN,7,500004,233,233,131,A,ADLD,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,11
3060524,C,2,110018,233,233,228,A,ADLD,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,11
3064259,AN,21,110015,233,233,131,B,ADLD,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,12
3057867,C,2,110018,308,233,228,A,ADLD,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,10
2870652,AJ,3,560011,233,245,228,A,ADLD,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,12
